company_id,table_group,company_name,country,city_region,sector,subsector,size_band_estimated,size_basis,website,linkedin,evidenced_claim,source_id,identity_evidence_grade,audit_status
SA-ENG-001,sa_engineering_sme,Systems Automation & Management (SAM),ZA,Bryanston Johannesburg,Industrial automation,Systems integration PLC/SCADA/DCS,SME,ESTIMATED_UNVERIFIED,https://www.sam.co.za/,,"Described as a leading SA systems integrator of PLCs SCADAs DCSs incl. Fieldbus",S-SEARCH-AUTOMATION,C,NOT_AUDITED
SA-ENG-002,sa_engineering_sme,Vertex Automation,ZA,Gauteng,Industrial automation,Conveyors robotics automated manufacturing,SME,ESTIMATED_UNVERIFIED,https://vertex-automation.co.za/,,"Designs manufactures and integrates conveyor systems industrial robotics automated manufacturing systems",S-SEARCH-AUTOMATION,C,NOT_AUDITED
SA-ENG-003,sa_engineering_sme,PCMP,ZA,Roodepoort Gauteng,Industrial automation,Systems integration,SME,ESTIMATED_UNVERIFIED,https://pcmp.co.za/,,"Industrial system integrator based in Roodepoort",S-SEARCH-AUTOMATION,C,NOT_AUDITED
SA-ENG-004,sa_engineering_sme,AGE Technologies,ZA,South Africa,Industrial automation,PLC programming SCADA support,SME,ESTIMATED_UNVERIFIED,https://www.age.co.za/,,"Automation systems integrator PLC programming and SCADA development specialist",S-SEARCH-AUTOMATION,C,NOT_AUDITED
SA-ENG-005,sa_engineering_sme,CraigCor,ZA,South Africa,Industrial automation,Industrial automation control and smart metering,SME,ESTIMATED_UNVERIFIED,https://craigcor.com/,,"Industrial automation and control smart metering",S-SEARCH-AUTOMATION,C,NOT_AUDITED
SA-ENG-006,sa_engineering_sme,Am Systems Integrations,ZA,Boksburg Gauteng,Industrial automation,Industrial control and LV systems,SME,ESTIMATED_UNVERIFIED,,,"Specialises in industrial control and automation and low voltage systems",S-SEARCH-AUTOMATION,C,NOT_AUDITED
SA-ENG-007,sa_medium_engineering,4Sight OT Automation,ZA,South Africa,Industrial automation,System integration automation and electrical engineering,MEDIUM,ESTIMATED_UNVERIFIED,https://4sight.cloud/,,"25+ years system integration for automation and electrical engineering projects; part of listed 4Sight Holdings",S-SEARCH-AUTOMATION,C,NOT_AUDITED
SA-ENG-008,sa_medium_engineering,MechProTech (MPT),ZA,Gauteng,Mineral processing equipment,Design and manufacture of processing equipment,SME-MEDIUM,ESTIMATED_UNVERIFIED,https://www.mechprotech.co.za/,,"Designer and supplier of mineral processing equipment; design and manufacture for mining and mineral processing",S-SEARCH-MINING-EQUIP,C,NOT_AUDITED
SA-ENG-009,sa_medium_engineering,IMS Engineering (Pty) Ltd,ZA,Gauteng,Mining equipment,Crushers and sorting technology,MEDIUM,ESTIMATED_UNVERIFIED,,,"Advanced machinery and solutions for the mining industry including crushers and sorting technologies",S-SEARCH-MINING-EQUIP,C,NOT_AUDITED
SA-ENG-010,sa_medium_engineering,GHH Mining Machines,ZA,Boksburg Gauteng,Mining equipment,Trackless mobile machines,MEDIUM,ESTIMATED_UNVERIFIED,https://ghhmm.co.za/about-us/,,"Manufactures trackless mobile machines designed and manufactured locally in Boksburg",S-SEARCH-MINING-EQUIP,C,NOT_AUDITED
SA-ENG-011,sa_medium_engineering,Tecman,ZA,South Africa,Mining equipment,Rock breaker boom systems,SME-MEDIUM,ESTIMATED_UNVERIFIED,,,"Manufacturer of rock breaker boom systems; specialist in rock breaking solutions for quarrying and mining",S-SEARCH-MINING-EQUIP,C,NOT_AUDITED
SA-ENG-012,sa_engineering_sme,SDMM Engineering,ZA,Evander Mpumalanga,Mechanical engineering,Steel fabrication civils machining,SME,ESTIMATED_UNVERIFIED,https://www.sdmmengineering.co.za/,,"Steel fabrication civil works machining and diamond mesh fencing to mining and industrial clients",S-SEARCH-MINING-EQUIP,C,NOT_AUDITED
SA-ENG-013,sa_engineering_sme,B&W Instrumentation and Electrical,ZA,South Africa,Electrical & instrumentation,E&I contracting,SME-MEDIUM,ESTIMATED_UNVERIFIED,https://bwie.co.za/,,"E&I (electrical and instrumentation) contracting",S-SEARCH-ELECTRICAL,C,NOT_AUDITED
SA-ENG-014,sa_medium_engineering,DGC Africa,ZA,South Africa,Mechanical engineering services,Sub-Saharan mechanical engineering services,MEDIUM,ESTIMATED_UNVERIFIED,https://www.dgc-africa.com/,,"Provides mechanical engineering services throughout sub-Saharan Africa",S-SEARCH-MINING-EQUIP,C,NOT_AUDITED
SA-ENG-015,sa_engineering_sme,Greenpower Energy,ZA,South Africa,Renewable energy,Solar EPC backup hybrid off-grid,SME,ESTIMATED_UNVERIFIED,,,"EPC company in renewable energy focusing on customised solar solutions",S-SEARCH-SOLAR,C,NOT_AUDITED
SA-ENG-016,sa_engineering_sme,RenewEPC,ZA,South Africa,Renewable energy,Utility-scale solar PV BESS wind EPC-M,SME,ESTIMATED_UNVERIFIED,https://www.renewepc.co.za/,,"Full EPC-M services for utility-scale solar PV BESS and wind projects across Southern Africa",S-SEARCH-SOLAR,C,NOT_AUDITED
SA-ENG-017,sa_engineering_sme,Solar EPC,ZA,South Africa,Renewable energy,EPC contractor to IPP developers,SME,ESTIMATED_UNVERIFIED,https://www.solarepc.co.za/,,"Participates as EPC contractor to IPP developers and consortia bidding or awarded under REIPPPP",S-SEARCH-SOLAR,C,NOT_AUDITED
SA-ENG-018,sa_engineering_sme,Keon Consulting Engineers,ZA,Gqeberha Eastern Cape,Consulting engineering,Civil and structural,SME,ESTIMATED_UNVERIFIED,,https://za.linkedin.com/company/keon-consulting-engineers,"100% African black owned civil and structural engineering consulting firm operating from Port Elizabeth across the Eastern Cape and SA",S-SEARCH-CONSULTING,C,NOT_AUDITED
