source_id,claim_supported,publisher,url,date_or_edition,access_method,evidence_grade,notes
S01,"SA social media management retainers: freelancers R3000-R8000/mo; boutique agencies R8000-R20000/mo; mid-market R20000-R50000/mo; ad spend billed separately","Growth Pulse Media",https://www.growthpulsemedia.co.za/social-media-costs-south-africa/,2026,web_search_snippet,B,"Vendor-published pricing guide. Self-interested source. Directionally consistent with S02/S03."
S02,"SA digital marketing agency cost ranges 2026","Syte",https://syte.co.za/digital-marketing-agency-costs-in-south-africa-2026-pricing-guide-for-business-owner/,2026,web_search_snippet,B,"Vendor-published. Could not open page (egress blocked)."
S03,"SA social media packages commonly R6000-R25000/mo","ReachDigital",https://www.reachdigital.co.za/how-to-compare-social-media-agency-packages-in-south-africa/,2026,web_search_snippet,B,"Vendor-published."
S04,"SA website design: standard business site R15000-R60000; most businesses pay R15000-R50000; simple from ~R5590; complex corporate to R250000","Gridweb / SME Rocket / Black Snow Group (converging vendor guides)",https://gridweb.co.za/website-design-costs-south-africa/,2026,web_search_snippet,B,"Multiple independent vendor guides converge on R15k-R60k band."
S05,"SA corporate video: <5 min R5000-R25000; 5-15 min R25000-R75000; 15+ min R75000+; ~R10000/produced-minute rule of thumb","Astral Studios / Audio Visual Lab / Sonnix",https://www.astralstudios.co.za/how-much-does-a-corporate-video-cost-in-sa/,2026,web_search_snippet,B,"Vendor-published; three independent SA production houses give overlapping ranges."
S06,"SA 3D static render R2500-R10000 (simple exterior); >R25000 complex/photoreal. 3D animation R8000-R250000","PropertyRender / Astral Studios",https://propertyrender.co.za/understanding-3d-rendering-prices-in-south-africa/,2026,web_search_snippet,B,"Architectural-viz priced; industrial/mechanical viz may differ."
S07,"SA construction industry forecast +2.8% real growth 2026; CAGR 3.9% 2026-2030","GlobalData",https://www.globaldata.com/store/report/south-africa-construction-market-analysis/,Q2 2026,web_search_snippet,A,"Paywalled report; figures from public summary."
S08,"SA public-sector infrastructure spend R1.06 trillion over 2026-2029 MTEF; R577.4bn SOCs, R217.8bn provinces, R205.7bn municipalities","RIB Software summary of SA Budget 2026",https://www.rib-software.com/en/news/south-africa-budget,2026,web_search_snippet,A,"Secondary summary of National Budget. Verify against Treasury Budget Review before quoting externally."
S09,"SEIFSA: 16 employer associations, 1300+ member companies, 170000+ employees in SA metals & engineering sector","SEIFSA",https://seifsa.co.za/about-us/,2025/2026,web_search_snippet,A,"Industry federation self-reported. Some sources cite ~140000 employees."
S10,"CESA: 580+ member consulting engineering firms employing ~19000 people","Consulting Engineers South Africa",https://www.cesa.co.za/about_cesa/,2025/2026,web_search_snippet,A,"Association self-reported."
S11,"CIDB Register of Contractors: >120000 actively registered contractors; mandatory for public-sector work; 9 grades","CIDB",https://www.cidb.org.za/contractors/register-of-contractors/overview/,2025/2026,web_search_snippet,A,"Could not open page (egress blocked). Grade-level breakdown NOT obtained."
S12,"CIDB tender value limits: Grade 7 up to R60m; Grade 8 up to R200m; Grade 9 unlimited","TenderPro SA / eTenderPortal",https://tenderprosa.co.za/compliance/cidb-grading,2026,web_search_snippet,B,"Third-party compliance sites; verify against CIDB regulations."
S13,"LinkedIn had 17.0 million members in South Africa in late 2025 = 26.2% of population, 37.8% of adults","DataReportal Digital 2026: South Africa",https://datareportal.com/reports/digital-2026-south-africa,Jan 2026,web_search_snippet,A,"LinkedIn ad-tools reach = registered members, not active users. Overstates reachable audience."
S14,"DRC: 34.7m internet users (30.5% penetration); 10.4m social media identities (9.2%); LinkedIn 980000 members (0.9% of population); 64.7m mobile connections","DataReportal Digital 2026: DRC",https://datareportal.com/reports/digital-2026-democratic-republic-of-the-congo,Jan 2026,web_search_snippet,A,"Same member-vs-active caveat applies to LinkedIn figure."
