competitor_id,name,country,positioning_claim,target_market,services_claimed,published_pricing,threat_type,threat_level,notes_and_evidence_grade
C01,CubicICE,ZA,"Full service marketing agency specialising in B2B and industrial markets; 30+ years industrial and B2B experience","Mining mineral processing automotive manufacturing construction engineering across sub-Saharan Africa","B2B and industrial marketing advertising digital marketing",NOT_PUBLISHED,Direct incumbent,HIGH,"The closest direct competitor found. Three decades of sector relationships is the single hardest asset to displace. Evidence grade C (search snippet only - site not opened)."
C02,Shift ONE Digital,ZA,"B2B digital marketing agency; experts in B2B marketing for growing manufacturing construction and engineering brands","Manufacturing construction engineering, SA and international","B2B marketing strategy digital",NOT_PUBLISHED,Direct incumbent,HIGH,"Explicitly claims the exact target verticals. Evidence grade C."
C03,Famous Digital Media,ZA,"B2B digital marketing since 2015 for engineering construction manufacturing energy oil & gas aviation logistics","Engineering construction manufacturing energy","B2B digital marketing",NOT_PUBLISHED,Direct incumbent,MEDIUM-HIGH,"Evidence grade C."
C04,Digitlab,ZA,"Industrial digital marketing for construction and manufacturing; understands long complex industrial sales cycles","Construction industrial manufacturing","Digital marketing strategy",NOT_PUBLISHED,Direct incumbent,MEDIUM,"Established generalist agency with an industrial vertical page. Evidence grade C."
C05,Xponent,ZA,"B2B marketing packages for engineering science technology and manufacturing; lead generation focus","Engineering science technology manufacturing","B2B marketing packages lead generation",NOT_PUBLISHED,Direct incumbent,MEDIUM,"Evidence grade C."
C06,"Generalist SA digital agencies (273 listed on GoodFirms alone)",ZA,"Full-service digital marketing","All SMEs","Social media SEO web PPC content",R6000-R25000/month typical,Price anchor / commodity substitute,HIGH,"Not sector specialists but they set the price expectation the buyer walks in with. Source S20 S01 S03."
C07,"Freelance social media managers and content creators",ZA,"Affordable social media management","SMEs","Posts graphics scheduling",R2500-R8000/month,Price floor,HIGH,"Directly undercuts the proposed R4500-R6000 starter package. Source S01."
C08,"In-house marketing coordinator / marketing officer",ZA,"Internal hire","Medium engineering firms","All marketing",Salary - not directly comparable,Substitute,MEDIUM-HIGH,"A medium firm spending R20k/mo on an agency will eventually ask whether a junior marketer is better value. This is the main reason retainers churn."
C09,"Client uses AI tools directly (ChatGPT / Claude / Canva / Gemini)",GLOBAL,"Do it ourselves","All","Content drafting image generation",Near zero marginal cost,Disintermediation,HIGH,"The single biggest structural threat to a business whose main claimed advantage is AI-assisted production."
C10,"SA video production houses",ZA,"Corporate video production","Corporates and larger SMEs","Corporate video technical video",R5000-R75000+ per video,Adjacent specialist,MEDIUM,"Source S05. They own the premium video budget already."
C11,"SA 3D visualisation studios",ZA,"Architectural and product visualisation","Property developers architects manufacturers","Static renders animation walkthroughs",R2500-R25000+ per render; R8000-R250000 animation,Adjacent specialist,MEDIUM,"Source S06. They already do the 3D work far cheaper than a WebGL site."
C12,"DRC agencies: Kinshasa Digital Marketing, IBORA MEDIA, Congo Web Agency, 1FLUENCE",CD,"Local digital and communication agencies in Kinshasa","Congolese businesses","Social media web development SEO content brand",NOT_PUBLISHED,Local incumbent (DRC),MEDIUM,"Local-language local-relationship incumbents. Evidence grade C."
